,live_births_percent,risk_factor,risk_factor_strata,any_sepsis_incidence_number,any_sespsis_100000_live_births
1,0.18,Alcohol abuse,Yes,5,422.3
3,6.82,Asthma,Yes,88,201.6
5,0.34,Cardiac valvular disease,Yes,10,458.09
7,0.02,Chronic congestive heart failure,Yes,2,1408.45
9,0.06,Chronic ischemic heart disease,Yes,2,518.13
11,0.44,Chronic renal disease,Yes,41,1450.81
13,1.02,Congenital heart disease,Yes,30,461.33
15,0.21,Cystic fibrosis,Yes,1,73.8
17,2.37,Drug abuse,Yes,46,303.71
19,8.85,Gestational diabetes mellitus,Yes,53,93.59
21,6.44,Gestational hypertension,Yes,33,80.12
23,0.2,Human immunodeficiency virus,Yes,5,390.02
25,0.78,Mild preeclampsia or unspecified preeclampsia,Yes,9,181.31
27,1.97,Multiple gestation,Yes,11,87.28
29,14.11,Obesity,Yes,100,110.76
31,1.78,Placenta previa,Yes,11,96.35
33,1.87,Preexisting diabetes mellitus,Yes,20,167.0
35,3.26,Preexisting hypertension,Yes,28,134.16
37,18.07,Previous cesarean delivery,Yes,101,87.35
39,0.04,Pulmonary hypertension,Yes,8,3030.3
41,2.17,Severe preeclampsia/eclampsia,Yes,22,158.1
43,1.71,Sickle cell disease,Yes,30,274.02
45,0.21,Systemic lupus erythematosus,Yes,3,228.48
47,4.96,Tobacco use,Yes,71,223.58
49,12.16,Blood loss anaemia,Yes,241,309.76
51,0.03,Cardiac arrhythmias,Yes,2,930.23
53,6.94,Chronic pulmonary disease,Yes,94,211.64
55,3.66,Coagulopathy,Yes,50,213.4
57,7.68,Deficiency anaemia,Yes,179,363.94
59,3.45,Depression,Yes,54,244.44
61,1.76,Fluid and electrolyte disorders,Yes,214,1898.85
63,4.96,Hypothyroidism,Yes,25,78.71
65,0.71,Liver disease,Yes,8,177.15
67,0.03,Lymphoma,Yes,0,0.0
69,0.01,Metastatic cancer,Yes,1,1298.7
71,2.15,Other neurological disorders,Yes,38,276.4
73,0.05,Paralysis,Yes,4,1173.02
75,0.04,"Peptic ulcer disease, excluding bleeding",Yes,0,0.0
77,0.04,Peripheral vascular disorders,Yes,5,1831.5
79,1.16,Psychoses,Yes,19,256.58
81,0.05,Pulmonary circulation disorders,Yes,5,1655.63
83,0.08,Renal failure,Yes,3,562.85
